episode,winner,PPO,Random
1085,PPO,1,-1
1086,PPO,1,-1
1087,Random,-1,1
1088,Random,-1,1
1089,PPO,1,-1
1090,PPO,1,-1
1091,PPO,1,-1
1092,PPO,1,-1
1093,PPO,1,-1
1094,PPO,1,-1
1095,PPO,1,-1
1096,PPO,1,-1
1097,PPO,1,-1
1098,PPO,1,-1
1099,PPO,1,-1
1100,Random,-1,1
1101,PPO,1,-1
1102,PPO,1,-1
1103,PPO,1,-1
1104,Random,-1,1
1105,PPO,1,-1
1106,PPO,1,-1
1107,PPO,1,-1
1108,PPO,1,-1
1109,PPO,1,-1
1110,PPO,1,-1
1111,PPO,1,-1
1112,PPO,1,-1
1113,PPO,1,-1
1114,Random,-1,1
1115,PPO,1,-1
1116,PPO,1,-1
1117,Random,-1,1
1118,PPO,1,-1
1119,PPO,1,-1
1120,PPO,1,-1
1121,PPO,1,-1
1122,PPO,1,-1
1123,PPO,1,-1
1124,Random,-1,1
1125,PPO,1,-1
1126,Random,-1,1
1127,PPO,1,-1
1128,PPO,1,-1
1129,Random,-1,1
1130,Random,-1,1
1131,PPO,1,-1
1132,PPO,1,-1
1133,PPO,1,-1
1134,PPO,1,-1
1135,PPO,1,-1
1136,PPO,1,-1
1137,PPO,1,-1
1138,PPO,1,-1
1139,PPO,1,-1
1140,PPO,1,-1
1141,PPO,1,-1
1142,PPO,1,-1
1143,PPO,1,-1
1144,PPO,1,-1
1145,PPO,1,-1
1146,PPO,1,-1
1147,PPO,1,-1
1148,PPO,1,-1
1149,PPO,1,-1
1150,PPO,1,-1
1151,PPO,1,-1
1152,PPO,1,-1
1153,PPO,1,-1
1154,PPO,1,-1
1155,PPO,1,-1
1156,Random,-1,1
1157,PPO,1,-1
1158,Random,-1,1
1159,Random,-1,1
1160,PPO,1,-1
1161,PPO,1,-1
1162,PPO,1,-1
1163,PPO,1,-1
1164,PPO,1,-1
1165,PPO,1,-1
1166,PPO,1,-1
1167,PPO,1,-1
1168,PPO,1,-1
1169,PPO,1,-1
1170,PPO,1,-1
1171,PPO,1,-1
1172,PPO,1,-1
1173,PPO,1,-1
1174,PPO,1,-1
1175,PPO,1,-1
1176,PPO,1,-1
1177,PPO,1,-1
1178,PPO,1,-1
1179,PPO,1,-1
1180,PPO,1,-1
1181,Random,-1,1
1182,PPO,1,-1
1183,PPO,1,-1
1184,PPO,1,-1
1185,PPO,1,-1
1186,Random,-1,1
1187,PPO,1,-1
1188,PPO,1,-1
1189,PPO,1,-1
1190,PPO,1,-1
1191,Random,-1,1
1192,PPO,1,-1
1193,PPO,1,-1
1194,PPO,1,-1
1195,Random,-1,1
1196,PPO,1,-1
1197,PPO,1,-1
1198,Random,-1,1
1199,PPO,1,-1
1200,PPO,1,-1
1201,PPO,1,-1
1202,PPO,1,-1
1203,PPO,1,-1
1204,PPO,1,-1
1205,PPO,1,-1
1206,PPO,1,-1
1207,PPO,1,-1
1208,PPO,1,-1
1209,PPO,1,-1
1210,Random,-1,1
1211,PPO,1,-1
1212,PPO,1,-1
1213,draw,0,0
1214,PPO,1,-1
1215,PPO,1,-1
1216,PPO,1,-1
1217,PPO,1,-1
1218,Random,-1,1
1219,PPO,1,-1
1220,PPO,1,-1
1221,Random,-1,1
1222,PPO,1,-1
1223,Random,-1,1
1224,PPO,1,-1
1225,Random,-1,1
1226,Random,-1,1
1227,PPO,1,-1
1228,Random,-1,1
1229,PPO,1,-1
1230,PPO,1,-1
1231,Random,-1,1
1232,Random,-1,1
1233,PPO,1,-1
