episode,winner,PPO,PPO_2
1105,PPO_2,-1,1
1106,PPO_2,-1,1
1107,PPO_2,-1,1
1108,PPO,1,-1
1109,PPO_2,-1,1
1110,PPO_2,-1,1
1111,PPO_2,-1,1
1112,PPO,1,-1
1113,PPO_2,-1,1
1114,PPO_2,-1,1
1115,PPO_2,-1,1
1116,PPO_2,-1,1
1117,PPO_2,-1,1
1118,PPO,1,-1
1119,PPO_2,-1,1
1120,PPO_2,-1,1
1121,PPO,1,-1
1122,PPO_2,-1,1
1123,PPO_2,-1,1
1124,PPO,1,-1
1125,PPO_2,-1,1
1126,PPO_2,-1,1
1127,PPO,1,-1
1128,PPO_2,-1,1
1129,PPO_2,-1,1
1130,PPO_2,-1,1
1131,PPO,1,-1
