episode,winner,DQN,Random
1108,DQN,1,-1
1109,DQN,1,-1
1110,DQN,1,-1
1111,DQN,1,-1
1112,DQN,1,-1
1113,DQN,1,-1
1114,DQN,1,-1
1115,DQN,1,-1
1116,DQN,1,-1
1117,DQN,1,-1
1118,Random,-1,1
1119,DQN,1,-1
1120,Random,-1,1
1121,DQN,1,-1
1122,DQN,1,-1
1123,DQN,1,-1
1124,DQN,1,-1
1125,DQN,1,-1
1126,DQN,1,-1
1127,draw,0,0
1128,DQN,1,-1
1129,draw,0,0
1130,DQN,1,-1
1131,DQN,1,-1
1132,Random,-1,1
1133,Random,-1,1
1134,draw,0,0
1135,DQN,1,-1
1136,DQN,1,-1
1137,DQN,1,-1
1138,DQN,1,-1
1139,Random,-1,1
1140,Random,-1,1
1141,Random,-1,1
1142,Random,-1,1
1143,DQN,1,-1
1144,draw,0,0
1145,DQN,1,-1
1146,DQN,1,-1
1147,DQN,1,-1
1148,DQN,1,-1
1149,DQN,1,-1
1150,DQN,1,-1
1151,DQN,1,-1
1152,Random,-1,1
1153,Random,-1,1
1154,DQN,1,-1
1155,DQN,1,-1
1156,DQN,1,-1
1157,Random,-1,1
1158,DQN,1,-1
1159,DQN,1,-1
1160,DQN,1,-1
1161,Random,-1,1
1162,Random,-1,1
1163,DQN,1,-1
1164,draw,0,0
1165,DQN,1,-1
1166,draw,0,0
1167,DQN,1,-1
1168,DQN,1,-1
1169,Random,-1,1
1170,DQN,1,-1
1171,DQN,1,-1
1172,draw,0,0
1173,Random,-1,1
1174,DQN,1,-1
1175,DQN,1,-1
1176,DQN,1,-1
1177,Random,-1,1
1178,draw,0,0
1179,DQN,1,-1
1180,Random,-1,1
1181,DQN,1,-1
1182,DQN,1,-1
1183,draw,0,0
1184,draw,0,0
1185,draw,0,0
1186,Random,-1,1
1187,DQN,1,-1
1188,draw,0,0
1189,Random,-1,1
1190,Random,-1,1
1191,DQN,1,-1
1192,DQN,1,-1
1193,draw,0,0
1194,DQN,1,-1
1195,DQN,1,-1
1196,Random,-1,1
1197,DQN,1,-1
1198,DQN,1,-1
1199,DQN,1,-1
1200,DQN,1,-1
1201,DQN,1,-1
1202,DQN,1,-1
1203,Random,-1,1
1204,Random,-1,1
1205,DQN,1,-1
1206,DQN,1,-1
1207,Random,-1,1
1208,Random,-1,1
1209,draw,0,0
1210,DQN,1,-1
1211,Random,-1,1
1212,DQN,1,-1
1213,DQN,1,-1
1214,draw,0,0
1215,DQN,1,-1
1216,draw,0,0
1217,Random,-1,1
1218,draw,0,0
1219,Random,-1,1
1220,draw,0,0
1221,draw,0,0
1222,DQN,1,-1
1223,Random,-1,1
1224,DQN,1,-1
1225,DQN,1,-1
1226,DQN,1,-1
1227,Random,-1,1
1228,DQN,1,-1
1229,DQN,1,-1
1230,Random,-1,1
1231,DQN,1,-1
1232,DQN,1,-1
1233,DQN,1,-1
1234,Random,-1,1
1235,DQN,1,-1
1236,Random,-1,1
