episode,winner,PHC,PHC_2
789,PHC,1,-1
790,PHC,1,-1
791,PHC_2,-1,1
792,PHC,1,-1
793,PHC,1,-1
794,PHC,1,-1
795,PHC_2,-1,1
796,PHC,1,-1
797,PHC,1,-1
798,PHC,1,-1
799,PHC,1,-1
800,PHC_2,-1,1
801,PHC,1,-1
802,PHC,1,-1
803,PHC_2,-1,1
804,PHC,1,-1
805,PHC,1,-1
806,PHC_2,-1,1
807,PHC,1,-1
808,PHC,1,-1
809,PHC,1,-1
810,PHC_2,-1,1
811,PHC_2,-1,1
812,PHC,1,-1
813,PHC,1,-1
814,PHC_2,-1,1
815,PHC_2,-1,1
816,PHC_2,-1,1
817,PHC,1,-1
818,PHC,1,-1
819,PHC,1,-1
820,PHC,1,-1
821,PHC,1,-1
822,PHC,1,-1
823,PHC,1,-1
824,PHC,1,-1
825,PHC,1,-1
826,PHC,1,-1
827,PHC,1,-1
828,PHC,1,-1
829,PHC,1,-1
830,PHC,1,-1
831,PHC,1,-1
832,PHC,1,-1
833,PHC,1,-1
834,PHC,1,-1
835,PHC,1,-1
836,PHC,1,-1
837,PHC,1,-1
838,PHC,1,-1
839,PHC,1,-1
840,PHC,1,-1
841,PHC_2,-1,1
842,PHC,1,-1
843,PHC,1,-1
844,PHC,1,-1
845,PHC_2,-1,1
846,PHC,1,-1
847,PHC,1,-1
848,PHC_2,-1,1
849,PHC_2,-1,1
850,PHC,1,-1
851,PHC,1,-1
852,PHC,1,-1
853,PHC,1,-1
854,PHC_2,-1,1
855,PHC_2,-1,1
856,PHC,1,-1
857,PHC_2,-1,1
858,PHC_2,-1,1
859,PHC,1,-1
860,PHC,1,-1
861,PHC,1,-1
862,PHC,1,-1
863,PHC,1,-1
864,PHC,1,-1
865,PHC_2,-1,1
866,PHC,1,-1
867,PHC_2,-1,1
868,PHC,1,-1
869,PHC,1,-1
870,PHC_2,-1,1
871,PHC,1,-1
872,PHC,1,-1
873,PHC_2,-1,1
874,PHC,1,-1
875,PHC,1,-1
876,PHC,1,-1
877,PHC_2,-1,1
878,PHC,1,-1
879,PHC,1,-1
880,PHC_2,-1,1
881,PHC,1,-1
882,PHC_2,-1,1
883,PHC,1,-1
884,PHC,1,-1
885,PHC_2,-1,1
886,PHC,1,-1
887,PHC,1,-1
888,PHC,1,-1
889,PHC_2,-1,1
890,PHC,1,-1
891,PHC,1,-1
892,PHC,1,-1
893,PHC_2,-1,1
894,PHC,1,-1
895,PHC_2,-1,1
896,PHC,1,-1
897,PHC_2,-1,1
898,PHC,1,-1
899,PHC,1,-1
900,PHC_2,-1,1
901,PHC,1,-1
902,PHC,1,-1
903,PHC_2,-1,1
904,PHC,1,-1
905,PHC,1,-1
906,PHC,1,-1
907,PHC_2,-1,1
908,PHC_2,-1,1
909,PHC,1,-1
910,PHC,1,-1
911,PHC_2,-1,1
912,PHC,1,-1
913,PHC,1,-1
914,PHC_2,-1,1
915,PHC,1,-1
916,PHC,1,-1
917,PHC_2,-1,1
918,PHC_2,-1,1
919,PHC,1,-1
920,PHC_2,-1,1
921,PHC,1,-1
922,PHC,1,-1
923,PHC,1,-1
924,PHC,1,-1
925,PHC,1,-1
926,PHC_2,-1,1
927,PHC_2,-1,1
928,PHC_2,-1,1
929,PHC,1,-1
930,PHC,1,-1
931,PHC,1,-1
932,PHC,1,-1
933,PHC,1,-1
934,PHC,1,-1
935,PHC,1,-1
936,PHC,1,-1
937,PHC,1,-1
938,PHC,1,-1
939,PHC,1,-1
940,PHC,1,-1
941,PHC,1,-1
942,PHC,1,-1
943,PHC,1,-1
944,PHC,1,-1
945,PHC,1,-1
946,PHC_2,-1,1
947,PHC,1,-1
948,PHC,1,-1
949,PHC,1,-1
950,PHC,1,-1
951,PHC,1,-1
952,PHC,1,-1
953,PHC,1,-1
954,PHC,1,-1
955,PHC_2,-1,1
956,PHC_2,-1,1
957,PHC,1,-1
958,PHC,1,-1
959,PHC,1,-1
960,PHC,1,-1
961,PHC_2,-1,1
962,PHC_2,-1,1
963,PHC,1,-1
964,PHC,1,-1
965,PHC,1,-1
966,PHC,1,-1
967,PHC,1,-1
968,PHC,1,-1
969,PHC,1,-1
970,PHC,1,-1
971,PHC_2,-1,1
972,PHC_2,-1,1
973,PHC,1,-1
974,PHC_2,-1,1
975,PHC,1,-1
976,PHC,1,-1
977,PHC,1,-1
978,PHC_2,-1,1
979,PHC,1,-1
980,PHC,1,-1
981,PHC,1,-1
982,PHC_2,-1,1
983,PHC_2,-1,1
984,PHC,1,-1
985,PHC,1,-1
986,PHC,1,-1
987,PHC,1,-1
988,PHC_2,-1,1
989,PHC,1,-1
990,PHC_2,-1,1
991,PHC,1,-1
992,PHC,1,-1
993,PHC,1,-1
994,PHC,1,-1
995,PHC,1,-1
996,PHC_2,-1,1
997,PHC_2,-1,1
998,PHC,1,-1
999,PHC,1,-1
1000,PHC,1,-1
1001,PHC,1,-1
1002,PHC,1,-1
1003,PHC,1,-1
1004,PHC_2,-1,1
1005,PHC,1,-1
1006,PHC,1,-1
1007,PHC_2,-1,1
1008,PHC,1,-1
1009,PHC,1,-1
1010,PHC,1,-1
1011,PHC_2,-1,1
1012,PHC,1,-1
1013,PHC,1,-1
1014,PHC,1,-1
1015,PHC_2,-1,1
1016,PHC,1,-1
1017,PHC,1,-1
1018,PHC,1,-1
1019,PHC,1,-1
1020,PHC_2,-1,1
1021,PHC,1,-1
1022,PHC,1,-1
1023,PHC,1,-1
1024,PHC,1,-1
1025,PHC,1,-1
1026,PHC,1,-1
1027,PHC,1,-1
1028,PHC,1,-1
1029,PHC_2,-1,1
1030,PHC,1,-1
1031,PHC,1,-1
1032,PHC,1,-1
1033,PHC_2,-1,1
1034,PHC,1,-1
1035,PHC,1,-1
1036,PHC_2,-1,1
1037,PHC,1,-1
1038,PHC,1,-1
1039,PHC,1,-1
1040,PHC,1,-1
1041,PHC_2,-1,1
1042,PHC,1,-1
1043,PHC,1,-1
1044,PHC,1,-1
1045,PHC,1,-1
1046,PHC,1,-1
1047,PHC,1,-1
1048,PHC,1,-1
1049,PHC,1,-1
1050,PHC_2,-1,1
1051,PHC,1,-1
1052,PHC,1,-1
1053,PHC,1,-1
1054,PHC,1,-1
1055,PHC,1,-1
1056,PHC,1,-1
1057,PHC,1,-1
1058,PHC_2,-1,1
1059,PHC_2,-1,1
1060,PHC,1,-1
1061,PHC,1,-1
1062,PHC,1,-1
1063,PHC,1,-1
1064,PHC,1,-1
1065,PHC,1,-1
1066,PHC_2,-1,1
1067,PHC,1,-1
1068,PHC,1,-1
1069,PHC,1,-1
